runTag,variant,repetition,exitCode,gc.collections,internal.gcTimeMillis,external.maxResidentBytes,external.cpuSeconds,internal.throughputPerSecond,internal.readingsPublished
constrained-t1-1,constrained-t1,1,0,0,0,64.65625,1.38,500.0,30003
constrained-t1-2,constrained-t1,2,0,0,0,64.484375,1.38,500.0,30003
constrained-t1-3,constrained-t1,3,0,0,0,64.984375,1.41,499.9,30003
constrained-t1-4,constrained-t1,4,0,0,0,64.796875,1.38,499.9,30005
constrained-t1-5,constrained-t1,5,0,0,0,64.234375,1.42,499.9,30005
constrained-t50-1,constrained-t50,1,0,0,0,72.53125,2.4,499.9,30004
constrained-t50-2,constrained-t50,2,0,0,0,72.5625,2.39,499.9,30004
constrained-t50-3,constrained-t50,3,0,0,0,72.171875,2.44,500.0,30004
constrained-t50-4,constrained-t50,4,0,0,0,72.328125,2.39,499.9,30006
constrained-t50-5,constrained-t50,5,0,0,0,72.796875,2.39,499.9,30006
naive-t1-1,naive-t1,1,0,3,8,98.546875,2.33,500.0,30003
naive-t1-2,naive-t1,2,0,3,7,98.703125,2.36,500.0,30003
naive-t1-3,naive-t1,3,0,3,8,98.75,2.34,500.0,30005
naive-t1-4,naive-t1,4,0,3,7,98.84375,2.31,500.0,30005
naive-t1-5,naive-t1,5,0,3,6,99.5,2.34,500.0,30005
naive-t50-1,naive-t50,1,0,4,8,102.734375,3.39,499.9,30004
naive-t50-2,naive-t50,2,0,4,12,104.109375,3.46,499.9,30004
naive-t50-3,naive-t50,3,0,4,9,103.53125,3.43,499.7,30006
naive-t50-4,naive-t50,4,0,4,11,102.8125,3.57,499.9,30002
naive-t50-5,naive-t50,5,0,4,8,103.609375,3.35,499.9,30006
