deviceId,recoveryId,outcome,replacementPod,detectedAtMillis,actedAtMillis,detectionToReplacementMillis,recoveredAtMillis,mttrMillis,missedHeartbeats
device-001,6b4810f5e9,REPLACED,device-001-r-6b4810f5e9,1787841760426,1787841760689,263,1787841762359,1933,0
device-002,3f5fc4368b,REPLACED,device-002-r-3f5fc4368b,1787841771469,1787841771584,115,1787841773450,1981,0
device-003,59fe6d16c3,REPLACED,device-003-r-59fe6d16c3,1787841782311,1787841782383,72,1787841783400,1089,0
device-001,f288b80d71,REPLACED,device-001-r-f288b80d71,1787841792346,1787841792410,64,1787841793447,1101,0
device-002,3bd37f2395,REPLACED,device-002-r-3bd37f2395,1787841802338,1787841802416,78,1787841803494,1156,0
device-003,482edd8870,REPLACED,device-003-r-482edd8870,1787841812327,1787841812385,58,1787841813529,1202,0
device-001,edef6f0dd7,REPLACED,device-001-r-edef6f0dd7,1787841822270,1787841822354,84,1787841823610,1340,0
device-002,c43b137ddb,REPLACED,device-002-r-c43b137ddb,1787841832305,1787841832388,83,1787841833733,1428,0
device-003,8a548f18b9,REPLACED,device-003-r-8a548f18b9,1787841842533,1787841842611,78,1787841843757,1224,0
device-001,93d7a0817a,REPLACED,device-001-r-93d7a0817a,1787841852498,1787841852621,123,1787841853907,1409,0
device-002,e31d2b7504,REPLACED,device-002-r-e31d2b7504,1787841862563,1787841862650,87,1787841863987,1424,0
device-003,543ebbbee5,REPLACED,device-003-r-543ebbbee5,1787841872811,1787841872893,82,1787841874027,1216,0
device-001,a67c188d06,REPLACED,device-001-r-a67c188d06,1787841882748,1787841882816,68,1787841884125,1377,0
device-002,f8242bb4ef,REPLACED,device-002-r-f8242bb4ef,1787841892702,1787841892783,81,1787841894146,1444,0
device-003,7e47740153,REPLACED,device-003-r-7e47740153,1787841902945,1787841902993,48,1787841904259,1314,0
device-001,212f2bee91,REPLACED,device-001-r-212f2bee91,1787841912918,1787841912981,63,1787841914520,1602,0
device-002,6b51851c64,REPLACED,device-002-r-6b51851c64,1787841923131,1787841923212,81,1787841924434,1303,0
device-003,115832f090,REPLACED,device-003-r-115832f090,1787841933132,1787841933213,81,1787841934497,1365,0
device-001,0986e60a0e,REPLACED,device-001-r-0986e60a0e,1787841943306,1787841943386,80,1787841944542,1236,0
device-002,5d94639f02,REPLACED,device-002-r-5d94639f02,1787841953269,1787841953338,69,1787841954594,1325,0
